bordeaux-88-r	Vins De Bordeaux - Achat Grands Vins De Vins De Bordeaux - Sur Wineandco.com	1431	-	|accueil|france	https://www.wineandco.com/bordeaux-88-r-fr-eur-fr.html	
champagne-6008-r	Champagne - Achat Grands Vins De Champagne - Sur Wineandco.com	179	-	|accueil|france	https://www.wineandco.com/champagne-6008-r-fr-eur-fr.html	
xavier-vins-d-experts-6339-m	Xavier Vins D'experts - Cairanne - Languedoc-Roussillon	12	-	|accueil|france|languedoc-roussillon|cairanne	https://www.wineandco.com/xavier-vins-d-experts-6339-m-fr-eur-fr.html	
champagne-salon-delamotte-884-m	Champagne Salon-Delamotte - Champagne - Champagne	5	-	|accueil|france|champagne|champagne	https://www.wineandco.com/champagne-salon-delamotte-884-m-fr-eur-fr.html	
domaine-de-la-brunely-17345-m	Domaine De La Brunely - Cairanne - Rhône	2	-	|accueil|france|rhône|cairanne	https://www.wineandco.com/domaine-de-la-brunely-17345-m-fr-eur-fr.html	
domaine-uby-8882-m	Domaine Uby - Côtes De Gascogne - Sud Ouest	4	-	|accueil|france|sud ouest|côtes de gascogne	https://www.wineandco.com/domaine-uby-8882-m-fr-eur-fr.html	
maison-alexandre-bonnet-18334-m	Maison Alexandre Bonnet - Champagne - Champagne	1	-	|accueil|france|champagne|champagne	https://www.wineandco.com/maison-alexandre-bonnet-18334-m-fr-eur-fr.html	
y-d-yquem-11087-m	Y D'yquem - Bordeaux - Bordeaux	5	-	|accueil|france|bordeaux|bordeaux	https://www.wineandco.com/y-d-yquem-11087-m-fr-eur-fr.html	
6339-xavier-vins-d-experts	Xavier Vins D'experts - Cairanne - Languedoc-Roussillon	12	-	#	https://www.wineandco.com/list/6339-xavier-vins-d-experts	
18334-maison-alexandre-bonnet	Maison Alexandre Bonnet - Champagne - Champagne	1	-	#	https://www.wineandco.com/list/18334-maison-alexandre-bonnet	
chateau-bernadotte-12165-m	Château Bernadotte	2	-	|accueil	https://www.wineandco.com/chateau-bernadotte-12165-m-fr-eur-fr.html	
884-champagne-salon-delamotte	Champagne Salon-Delamotte - Champagne - Champagne	5	-	#	https://www.wineandco.com/list/884-champagne-salon-delamotte	
17345-domaine-de-la-brunely	Domaine De La Brunely - Cairanne - Rhône	2	-	#	https://www.wineandco.com/list/17345-domaine-de-la-brunely	
les-fumees-blanches-16658-m	Les Fumées Blanches  - Côtes De Gascogne - Sud Ouest	1	-	|accueil|france|sud ouest|côtes de gascogne	https://www.wineandco.com/les-fumees-blanches-16658-m-fr-eur-fr.html	
12165-chateau-bernadotte	Château Bernadotte	3	-	#	https://www.wineandco.com/list/12165-chateau-bernadotte	
11087-y-dyquem	Y D'yquem - Bordeaux - Bordeaux	5	-	#	https://www.wineandco.com/list/11087-y-dyquem	
16658-les-fumees-blanches	Les Fumées Blanches  - Côtes De Gascogne - Sud Ouest	1	-	#	https://www.wineandco.com/list/16658-les-fumees-blanches	
8882-domaine-uby	Domaine Uby - Côtes De Gascogne - Sud Ouest	4	-	#	https://www.wineandco.com/list/8882-domaine-uby	
champagne-pol-roger-501-m	Champagne Pol Roger - Champagne	2	-	|accueil|france|champagne	https://www.wineandco.com/champagne-pol-roger-501-m-fr-eur-fr.html	
champagne-marteaux-18329-m	Champagne Marteaux - Champagne - Champagne	2	-	|accueil|france|champagne|champagne	https://www.wineandco.com/champagne-marteaux-18329-m-fr-eur-fr.html	
champagne-larmandier-bernier-18302-m	Champagne Larmandier-Bernier - Champagne - Champagne	5	-	|accueil|france|champagne|champagne	https://www.wineandco.com/champagne-larmandier-bernier-18302-m-fr-eur-fr.html	
champagne-martivey-10958-m	Champagne Martivey - Champagne	1	-	|accueil|france|champagne	https://www.wineandco.com/champagne-martivey-10958-m-fr-eur-fr.html	
501-champagne-pol-roger	Champagne Pol Roger - Champagne	2	-	#	https://www.wineandco.com/list/501-champagne-pol-roger	
champagne-moet-chandon-16791-m	Champagne Moet & Chandon - Champagne - Champagne	4	-	|accueil|accessoires|champagne|champagne	https://www.wineandco.com/champagne-moet-chandon-16791-m-fr-eur-fr.html	
10958-champagne-martivey	Champagne Martivey - Champagne	0	-	#	https://www.wineandco.com/list/10958-champagne-martivey	
18302-champagne-larmandier-bernier	Champagne Larmandier-Bernier - Champagne - Champagne	5	-	#	https://www.wineandco.com/list/18302-champagne-larmandier-bernier	
18329-champagne-marteaux	Champagne Marteaux - Champagne - Champagne	2	-	#	https://www.wineandco.com/list/18329-champagne-marteaux	
champagne-gustave-roche-16498-m	Champagne Gustave Roche - Champagne - Champagne	3	-	|accueil|france|champagne|champagne	https://www.wineandco.com/champagne-gustave-roche-16498-m-fr-eur-fr.html	
16791-champagne-moet-chandon	Champagne Moet & Chandon - Champagne - Champagne	8	-	#	https://www.wineandco.com/list/16791-champagne-moet-chandon	
champagne-jean-velut-16047-m	Champagne Jean Velut - Champagne - Champagne	3	-	|accueil|france|champagne|champagne	https://www.wineandco.com/champagne-jean-velut-16047-m-fr-eur-fr.html	
16498-champagne-gustave-roche	Champagne Gustave Roche - Champagne - Champagne	5	-	#	https://www.wineandco.com/list/16498-champagne-gustave-roche	
champagne-fleury-16419-m	Champagne Fleury - Champagne - Champagne	8	-	|accueil|france|champagne|champagne	https://www.wineandco.com/champagne-fleury-16419-m-fr-eur-fr.html	
champagne-ayala-10843-m	Champagne Ayala - Champagne	3	-	|accueil|france|champagne	https://www.wineandco.com/champagne-ayala-10843-m-fr-eur-fr.html	
16047-champagne-jean-velut	Champagne Jean Velut - Champagne - Champagne	3	-	#	https://www.wineandco.com/list/16047-champagne-jean-velut	
champagne-charles-heidsieck-9308-m	Champagne Charles Heidsieck - Champagne - Champagne	3	-	|accueil|france|champagne|champagne	https://www.wineandco.com/champagne-charles-heidsieck-9308-m-fr-eur-fr.html	
champagne-bruno-paillard-273-m	Champagne Bruno Paillard - Champagne - Champagne	4	-	|accueil|france|champagne|champagne	https://www.wineandco.com/champagne-bruno-paillard-273-m-fr-eur-fr.html	
champagne-chassenay-d-arce-18228-m	Champagne Chassenay D'arce - Champagne - Champagne	1	-	|accueil|france|champagne|champagne	https://www.wineandco.com/champagne-chassenay-d-arce-18228-m-fr-eur-fr.html	
9308-champagne-charles-heidsieck	Champagne Charles Heidsieck - Champagne - Champagne	3	-	#	https://www.wineandco.com/list/9308-champagne-charles-heidsieck	
6008-champagne	Champagne - Achat Grands Vins De Champagne - Sur Wineandco.com	186	-	#	https://www.wineandco.com/list/6008-champagne	
verrerie-19312-r	Verrerie - Achat Grands Vins De Verrerie - Sur Wineandco.com	15	-	|accueil|accessoires	https://www.wineandco.com/verrerie-19312-r-fr-eur-fr.html	
10843-champagne-ayala	Champagne Ayala - Champagne	3	-	#	https://www.wineandco.com/list/10843-champagne-ayala	
18228-domaine-chassenay-d-arce	Champagne Chassenay D'arce - Champagne - Champagne	1	-	#	https://www.wineandco.com/list/18228-domaine-chassenay-d-arce	
16419-champagne-fleury	Champagne Fleury - Champagne - Champagne	8	-	#	https://www.wineandco.com/list/16419-champagne-fleury	
273-champagne-bruno-paillard	Champagne Bruno Paillard - Champagne - Champagne	4	-	#	https://www.wineandco.com/list/273-champagne-bruno-paillard	
pulltex-19313-m	Pulltex - Carafe - Verrerie	1	-	|accueil|accessoires|verrerie|carafe	https://www.wineandco.com/pulltex-19313-m-fr-eur-fr.html	
riedel-19407-m	Riedel - Carafe - Verrerie	12	-	|accueil|accessoires|verrerie|carafe	https://www.wineandco.com/riedel-19407-m-fr-eur-fr.html	
19312-carafe	Verrerie - Achat Grands Vins De Verrerie - Sur Wineandco.com	14	-	#	https://www.wineandco.com/list/19312-carafe	
19313-pulltex	Pulltex - Carafe - Verrerie	1	-	#	https://www.wineandco.com/list/19313-pulltex	
19407-riedel	Riedel - Carafe - Verrerie	12	-	#	https://www.wineandco.com/list/19407-riedel	
domaine-de-perdrycourt-9482-m	Domaine De Perdrycourt - Chablis - Bourgogne	2	-	|accueil|france|bourgogne|chablis	https://www.wineandco.com/domaine-de-perdrycourt-9482-m-fr-eur-fr.html	
domaine-r-dubois-fils-13211-m	Domaine R Dubois & Fils - Hautes Côtes De Nuits - Bourgogne	4	-	|accueil|france|bourgogne|hautes côtes de nuits|côte de nuits villages	https://www.wineandco.com/domaine-r-dubois-fils-13211-m-fr-eur-fr.html	
maison-laroche-7259-m	Maison Laroche - Chablis - Bourgogne	5	-	|accueil|france|bourgogne|chablis	https://www.wineandco.com/maison-laroche-7259-m-fr-eur-fr.html	
domaine-laurent-roumier-10626-m	Domaine Laurent Roumier - Bonnes-Mares Grand Cru - Bourgogne	6	-	|accueil|france|bourgogne|bonnes-mares grand cru	https://www.wineandco.com/domaine-laurent-roumier-10626-m-fr-eur-fr.html	
13211-domaine-r-dubois-fils	Domaine R Dubois & Fils - Hautes Côtes De Nuits - Bourgogne	4	-	#	https://www.wineandco.com/list/13211-domaine-r-dubois-fils	
laboure-roi-10882-m	Labouré-Roi - Aloxe-Corton - Bourgogne	4	-	|accueil|france|bourgogne|aloxe-corton	https://www.wineandco.com/laboure-roi-10882-m-fr-eur-fr.html	
domaine-david-duband-12493-m	Domaine David Duband - Bourgogne - Bourgogne	21	-	|accueil|france|bourgogne|bourgogne	https://www.wineandco.com/domaine-david-duband-12493-m-fr-eur-fr.html	
