esprit-de-pavie-2011	gvc	Esprit de Pavie 2011	Par 1	13.5		https://grandsvins.carrefour.fr/product/esprit-de-pavie-2011	Vin	Bordeaux	Bordeaux	2011	Rouge	75 CL	https://res.cloudinary.com/elixup/image/upload/c_pad,h_600,w_600/v1505934458/gr8sebqvhus5u200lbz1.png	
piccini-2011	gvc	Piccini 2011	Par 1	9.95		https://grandsvins.carrefour.fr/product/piccini-2011	Vin	Vins du Monde	Italie - Chianti Classico Riserva	2011	Rouge	75 CL	https://res.cloudinary.com/elixup/image/upload/c_pad,h_600,w_600/v1505935641/zp4tbqgxvj3y86afoazy.png	
domaine-des-herbauges-reflets-de-france-2015	gvc	Domaine des Herbauges "Reflets de France" 2015	Par 6	4.65		https://grandsvins.carrefour.fr/product/domaine-des-herbauges-reflets-de-france-2015	Vin	Val de Loire	Muscadet Côtes de Grandlieu	2015	Blanc	75 CL	https://res.cloudinary.com/elixup/image/upload/c_pad,h_600,w_600/v1505935514/bhir8advwbev3kfhw9xr.png	
clotilde-davenne-2016	gvc	Clotilde Davenne "Reflets de France" 2016	Par 1	8.6		https://grandsvins.carrefour.fr/product/clotilde-davenne-2016	Vin	Bourgogne	Saint-Bris	2016	Blanc	75 CL	https://res.cloudinary.com/elixup/image/upload/c_pad,h_600,w_600/v1505934383/uyr3hjit9tor66klbbdp.png	
canti-16	gvc	Canti 2016	Par 1	6.75		https://grandsvins.carrefour.fr/product/canti-16	Effervescent	Vins du Monde	Italie - Prosecco	2016	Blanc	75 CL	https://res.cloudinary.com/elixup/image/upload/c_pad,h_600,w_600/v1505935699/f5tiatnphvaiub0az1xa.png	
75-doc-ita-bl-mouss-prosecco-bio-fascino	gvc	Fascino	Par 1	8.95		https://grandsvins.carrefour.fr/product/75-doc-ita-bl-mouss-prosecco-bio-fascino	Effervescent	Vins du Monde	Italie - Prosecco		Blanc	75 CL	https://res.cloudinary.com/elixup/image/upload/c_pad,h_600,w_600/v1511879542/ahj4qm1c7ro2w8u7nf5e.png	
wolfberger-bio	gvc	Wolfberger Bio	Par 1	8.65		https://grandsvins.carrefour.fr/product/wolfberger-bio	Effervescent	Alsace	Crémant d'Alsace		Blanc	75 CL	https://res.cloudinary.com/elixup/image/upload/c_pad,h_600,w_600/v1511880826/htdu5toruxdzvuvoq4gm.png	
champagne-rose-majeur-ayala	gvc	Ayala Rosé Majeur 	Par 1	37.95		https://grandsvins.carrefour.fr/product/champagne-rose-majeur-ayala	Vin	Champagne	Champagne Rosé		Rosé	75 CL	https://res.cloudinary.com/elixup/image/upload/c_pad,h_600,w_600/v1513005999/ndqsnc23w148bynnnafc.png	
alentejo-vin-du-portugal-rouge-monte-velho-2016	gvc	Herdade do Esporao - Monte Velho - 2016	Par 1	5.95		https://grandsvins.carrefour.fr/product/alentejo-vin-du-portugal-rouge-monte-velho-2016	Vin	Vins du Monde	Portugal - Alentejo	2016	Rouge	75 CL	https://res.cloudinary.com/elixup/image/upload/c_pad,h_600,w_600/v1509088145/bhprn3jfwhimwdajy6g4.png	
col-de-la-serre-rouge-2016	gvc	Col de la Serre 2016	Par 6	4.7		https://grandsvins.carrefour.fr/product/col-de-la-serre-rouge-2016	Vin	Languedoc-Roussillon	Saint-Chinian	2016	Rouge	75 CL	https://res.cloudinary.com/elixup/image/upload/c_pad,h_600,w_600/v1509285415/oeel3lucaegnhvbrtohw.png	
schiste-rose-2016	gvc	Schiste Rosé 2016	Par 1	5.9		https://grandsvins.carrefour.fr/product/schiste-rose-2016	Vin	Val de Loire	Val de Loire	2016	Rosé	75 CL	https://res.cloudinary.com/elixup/image/upload/c_pad,h_600,w_600/v1505935542/ea45xfysk4vnphwtz3mc.png	
domaine-pelaquie-15	gvc	Domaine Pelaquié 2015	Par 1	5.9		https://grandsvins.carrefour.fr/product/domaine-pelaquie-15	Vin	Vallée du Rhône	Côtes du Rhône Villages	2015	Rouge	75 CL	https://res.cloudinary.com/elixup/image/upload/c_pad,h_600,w_600/v1509286708/asueeovfodr8asrzddt0.png	
arnaud-aucoeur-chapelle-des-bois-rdf-2015	gvc	Arnaud Aucoeur La Chapelle des Bois "Reflets de France" 2015	Par 1	7.55		https://grandsvins.carrefour.fr/product/arnaud-aucoeur-chapelle-des-bois-rdf-2015	Vin	Beaujolais	Fleurie	2015	Rouge	75 CL	https://res.cloudinary.com/elixup/image/upload/c_pad,h_600,w_600/v1509092633/g9elrvyoa7ew01wggofz.png	
domaine-raphael-sallet-reflets-de-france-2015	gvc	Domaine Raphaël Sallet "Reflets de France" 2015	Par 1	7.5		https://grandsvins.carrefour.fr/product/domaine-raphael-sallet-reflets-de-france-2015	Vin	Bourgogne	Mâcon-Uchizy	2015	Blanc	75 CL	https://res.cloudinary.com/elixup/image/upload/c_pad,h_600,w_600/v1505935399/gnwxcrtnbljkwrmlvlm2.png	
chateau-haut-peyraud-bio-2013	gvc	Chateau Haut-Peyraud 2013	Par 6	4.95		https://grandsvins.carrefour.fr/product/chateau-haut-peyraud-bio-2013	Vin	Bordeaux	Blaye-Côtes-de-Bordeaux	2013	Rouge	75 CL	https://res.cloudinary.com/elixup/image/upload/c_pad,h_600,w_600/v1509092521/kioxtmn3yuty6z7pt4nu.png	
chateau-vieux-gabiran-2015	gvc	Château Vieux Gabiran 2015	Par 1	5.5		https://grandsvins.carrefour.fr/product/chateau-vieux-gabiran-2015	Vin	Bordeaux	Bordeaux	2015	Rouge	75 CL	https://res.cloudinary.com/elixup/image/upload/c_pad,h_600,w_600/v1509368290/xflyp7dfxwtptzv0imrw.png	
large-malartic-la-cave-d-augustin-florent-2015	gvc	Large Malartic "La Cave d'Augustin Florent" 2015	Par 1	5.1		https://grandsvins.carrefour.fr/product/large-malartic-la-cave-d-augustin-florent-2015	Vin	Bordeaux	Bordeaux	2015	Rouge	75 CL	https://res.cloudinary.com/elixup/image/upload/c_pad,h_600,w_600/v1505934442/ey03ee5zt5ldjxadantc.png	
chateau-picon-reflets-de-france-2015	gvc	Château Picon "Reflets de France" 2015	Par 6	4.9		https://grandsvins.carrefour.fr/product/chateau-picon-reflets-de-france-2015	Vin	Bordeaux	Bordeaux	2015	Rouge	75 CL	https://res.cloudinary.com/elixup/image/upload/c_pad,h_600,w_600/v1505934466/o7ybmeseiwh4qrxhneef.png	
chateau-tartifume-caf-2016	gvc	Château Tartifume 2016	Par 6	4.9		https://grandsvins.carrefour.fr/product/chateau-tartifume-caf-2016	Vin	Bordeaux	Côtes de Bourg	2016	Rouge	75 CL	https://res.cloudinary.com/elixup/image/upload/c_pad,h_600,w_600/v1511879682/qwqcor6jmuer1y4rdwmb.png	
chateau-la-chapelle-maillard	gvc	Château La Chapelle Maillard 2014	Par 6	4.8		https://grandsvins.carrefour.fr/product/chateau-la-chapelle-maillard	Vin	Bordeaux	Bordeaux	2014	Rouge	75 CL	https://res.cloudinary.com/elixup/image/upload/c_pad,h_600,w_600/v1505934452/yva1fo1e9mzasa621yxg.png	
chateau-lion-noir-2012	gvc	Château Lion Noir 2012	Par 6	4.8		https://grandsvins.carrefour.fr/product/chateau-lion-noir-2012	Vin	Bordeaux	Côtes de Bourg	2012	Rouge	75 CL	https://res.cloudinary.com/elixup/image/upload/c_pad,h_600,w_600/v1505934471/fo7jmfn13rqhcnfwbhud.png	
frescobaldi-pomino-bianco-16	gvc	Frescobaldi Pomino Bianco 2016	Par 1	11.95		https://grandsvins.carrefour.fr/product/frescobaldi-pomino-bianco-16	Vin	Vins du Monde	Italie - Toscana	2016	Blanc	75 CL	https://res.cloudinary.com/elixup/image/upload/c_pad,h_600,w_600/v1511881136/fzfdblaxfmmabdyxlbln.png	
